,uid,title,genre,aired,episodes,members,popularity,ranked,score
17973,1572,Jungle Taitei,"['Adventure', 'Kids', 'Shounen']","Oct 6, 1965 to Sep 28, 1966",52.0,5088,5715,5239.0,6.67
17975,2544,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,"['Adventure', 'Drama', 'Historical', 'Slice of Life']","Jan 4, 1981 to Dec 27, 1981",50.0,3487,6638,2456.0,7.32
17978,940,Inukami!,"['Comedy', 'Ecchi', 'Romance', 'Shounen', 'Supernatural']","Apr 6, 2006 to Sep 28, 2006",26.0,58851,1690,2453.0,7.32
17979,33490,Kaitou Joker 4th Season,"['Adventure', 'Mystery', 'Comedy', 'Shounen']","Oct 3, 2016 to Dec 26, 2016",13.0,2649,7301,2455.0,7.32
17980,16774,Inferno Cop,"['Action', 'Comedy', 'Police']","Dec 25, 2012 to Mar 19, 2013",13.0,72349,1467,2452.0,7.32
17981,13261,Inazuma Eleven Go: Chrono Stone,"['Sports', 'Super Power', 'Shounen']","Apr 18, 2012 to May 1, 2013",51.0,27038,2724,2451.0,7.32
17984,30991,Himouto! Umaru-chan OVA,"['Slice of Life', 'Comedy', 'School', 'Seinen']","Oct 19, 2015 to Apr 19, 2017",2.0,49136,1923,2448.0,7.32
17985,18835,Hakuouki Reimeiroku Tokuten Disc,"['Action', 'Supernatural', 'Josei']","May 22, 2013",2.0,3444,6676,2447.0,7.32
17987,1313,Digimon Adventure 02,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Kids']","Apr 2, 2000 to Mar 25, 2001",50.0,166172,664,2444.0,7.32
17990,2383,Cybersix,"['Action', 'Adventure', 'Romance', 'Sci-Fi']","Sep 6, 1999 to Nov 29, 1999",13.0,5718,5439,2442.0,7.32
17992,5356,Canaan,"['Action', 'Sci-Fi', 'Super Power', 'Supernatural', 'Seinen']","Jul 4, 2009 to Sep 26, 2009",13.0,168516,651,2441.0,7.32
17993,10163,C: The Money of Soul and Possibility Control,"['Action', 'Mystery', 'Super Power', 'Thriller']","Apr 15, 2011 to Jun 24, 2011",11.0,223965,472,2440.0,7.32
17994,554,Koutetsu Tenshi Kurumi,"['Adventure', 'Comedy', 'Drama', 'Historical', 'Mecha', 'Military', 'Romance', 'Shounen']","Oct 5, 1999 to Apr 4, 2000",24.0,19456,3234,4418.0,6.84
17996,10348,Fireball Charming,['Sci-Fi'],"Apr 4, 2011 to Jun 27, 2011",13.0,6848,5062,4410.0,6.84
17997,5525,07-Ghost,"['Action', 'Demons', 'Fantasy', 'Josei', 'Magic', 'Military']","Apr 7, 2009 to Sep 22, 2009",25.0,164920,669,2435.0,7.32
